order,depth,width,height,layers,quantity,priority
SP703563,90,2463,135,3,5,0
SP703563,90,2508,180,4,5,0
SP703563,90,4935,270,6,5,0
SP708587,90,1780,225,5,5,0
SP708587,90,2144,225,5,1,0
SP708587,90,2258,180,4,1,0
SP708587,90,2339,225,5,8,0
SP708587,90,2548,180,4,22,0
SP708587,90,5013,225,5,24,0
SP708587,90,5495,225,5,1,0
SP708587,90,5513,225,5,2,0
SP708587,90,9981,1215,26,5,0
SP708587,90,10215,720,16,7,0
