order,depth,width,height,layers,quantity,priority
SP703563,185,5857,360,8,10,0
SP703563,185,6693,360,8,10,0
SP706182,185,9200,540,12,6,0
SP707443,185,3519,225,5,9,0
SP707443,185,3617,225,5,7,0
SP707443,185,3939,225,5,6,0
SP707443,185,3963,180,4,10,0
SP707443,185,3974,180,4,2,0
SP707443,185,3991,180,4,2,0
SP708587,185,2357,225,5,6,0
