order,depth,width,height,layers,quantity,priority
SP708587,90,2144,225,5,3,0
SP708587,90,2431,180,4,4,0
SP708587,90,2548,180,4,2,0
SP708587,90,5013,225,5,83,0
SP708587,90,5495,225,5,1,0
SP708587,90,5513,225,5,3,0
SP708587,90,9981,1170,26,5,0
SP708587,90,10215,720,16,1,0
