order,depth,width,height,layers,quantity,priority
SP708587,90,1780,225,5,12,0
SP708587,90,2548,180,4,3,0
SP708587,90,5013,225,5,23,0
SP708587,90,5513,225,5,4,0
SP708587,90,9981,1170,26,1,0
SP708587,90,10215,720,16,3,0
SP708588,90,2881,90,2,4,0
SP708588,90,3394,450,10,4,0
SP708588,90,4336,225,5,16,0
SP708588,90,4363,225,5,64,0
SP708588,90,7677,450,10,4,0
