order,depth,width,height,layers,quantity,priority
SP703563,115,2508,225,5,5,0
SP703563,115,4770,315,7,5,0
SP703563,115,9017,315,7,5,0
SP707443,115,4178,270,6,1,0
SP707443,115,7430,315,7,1,0
SP707443,115,10793,315,7,1,0
SP707443,115,11041,315,7,1,0
SP707443,115,11400,315,7,1,0
SP707443,115,17689,315,7,1,0
SP708587,115,5013,135,3,36,0
SP708588,115,1100,90,2,20,0
SP708588,115,2500,90,2,20,0
SP708588,115,3324,180,4,20,0
SP708588,115,3324,225,5,20,0
SP708588,115,3618,225,5,4,0
SP708588,115,3905,225,5,4,0
SP708588,115,4190,225,5,4,0
SP708588,115,4520,225,5,4,0
SP708588,115,4600,315,7,16,0
SP708588,115,4650,315,7,4,0
