order,depth,width,height,layers,quantity,priority
SP707443,90,500,135,3,7,0
SP707443,90,2100,225,5,4,0
SP707443,90,3315,225,5,5,0
SP707443,90,3358,225,5,4,0
SP707443,90,3421,225,5,5,0
SP707443,90,3440,180,4,8,0
SP707443,90,3440,225,5,9,0
SP707443,90,3730,180,4,2,0
SP707443,90,4000,225,5,5,0
SP707443,90,4204,225,5,1,0
SP708587,90,1780,225,5,13,0
SP708587,90,5013,225,5,14,0
SP708587,90,5495,225,5,1,0
SP708587,90,5513,225,5,10,0
SP708587,90,9981,1170,26,8,0
SP708587,90,10215,720,16,1,0
