order,width,height,layers,quantity,depth,priority
SP708587,1780,225,5,6,90,0
SP708587,2144,225,5,4,90,0
SP708587,2258,180,4,7,90,0
SP708587,2431,180,4,4,90,0
SP708587,2548,180,4,1,90,0
SP708587,5495,225,5,1,90,0
SP708587,5513,225,5,9,90,0
SP708587,9981,1215,26,5,90,0
SP708587,10215,720,16,12,90,0
